Month,DayofMonth,Origin,Dest,O_State,O_Latitude,O_Longitude,D_State,D_Latitude,D_Longitude
1,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,10,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,19,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,21,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,23,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,30,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,1,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
1,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,3,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,10,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,11,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,13,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,21,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,23,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,3,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,13,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,23,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,15,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,9,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,19,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,29,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,10,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,1,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,13,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,23,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,29,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,3,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,9,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,29,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
2,1,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,10,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,11,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,13,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,15,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,21,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,23,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,30,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,31,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,11,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,15,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,9,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,19,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,29,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,9,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,27,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,10,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,30,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,1,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
3,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,9,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,11,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,15,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,19,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,21,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,29,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,13,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,8,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,4,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
