Month,DayofMonth,Origin,Dest
12,13,299,299
12,14,336,331
12,15,351,352
12,16,339,335
12,17,351,355
12,18,360,355
12,19,364,365
12,20,333,333
12,21,351,345
12,22,360,359
12,23,357,353
12,24,311,307
12,25,306,305
12,26,359,360
12,27,332,332
12,28,349,343
12,29,354,354
12,30,355,353
12,31,310,307
